"Species","Latitude","Longitude","optional"
"African Jewelfish",25.38632,-80.84705,TRUE
"African Jewelfish",25.67931,-80.58757,TRUE
"African Jewelfish",25.67981,-80.84667,TRUE
"African Jewelfish",25.54616,-80.57539,TRUE
"African Jewelfish",25.51503,-80.575,TRUE
"African Jewelfish",25.42509,-80.59019,TRUE
"African Jewelfish",25.26801,-80.45987,TRUE
"African Jewelfish",25.26873,-80.71808,TRUE
"African Jewelfish",25.56233,-80.78211,TRUE
"African Jewelfish",25.62078,-80.65252,TRUE
"African Jewelfish",25.56222,-80.7174,TRUE
"African Jewelfish",25.32729,-80.65336,TRUE
"African Jewelfish",25.44469,-80.65302,TRUE
"African Jewelfish",25.67962,-80.71712,TRUE
"African Jewelfish",25.62111,-80.84675,TRUE
"African Jewelfish",25.7378,-80.52257,TRUE
"African Jewelfish",25.50372,-80.84689,TRUE
"African Jewelfish",25.31295,-80.83955,TRUE
"African Jewelfish",25.73817,-80.65218,TRUE
"African Jewelfish",25.44482,-80.71767,TRUE
"African Jewelfish",25.26859,-80.65353,TRUE
"African Jewelfish",25.44502,-80.84697,TRUE
"African Jewelfish",25.738,-80.58737,TRUE
"African Jewelfish",25.56208,-80.65269,TRUE
"African Jewelfish",25.50352,-80.71754,TRUE
"African Jewelfish",25.30786,-80.50135,TRUE
"African Jewelfish",25.30037,-80.48074,TRUE
"African Jewelfish",25.2945,-80.46538,TRUE
"African Jewelfish",25.36897,-80.57407,TRUE
"African Jewelfish",25.38185,-80.57414,TRUE
"African Jewelfish",25.41797,-80.58448,TRUE
"African Jewelfish",25.43338,-80.59041,TRUE
"African Jewelfish",25.43896,-80.5904,TRUE
"African Jewelfish",25.46282,-80.58261,TRUE
"African Jewelfish",25.4626,-80.57628,TRUE
"African Jewelfish",25.48035,-80.57471,TRUE
"African Jewelfish",25.75833,-80.76988,TRUE
"African Jewelfish",25.75655,-80.7272,TRUE
"African Jewelfish",25.75637,-80.57212,TRUE
"African Jewelfish",25.75641,-80.6349,TRUE
"African Jewelfish",25.4185,-80.58917,TRUE
"African Jewelfish",25.4198,-80.58981,TRUE
"African Jewelfish",25.4323,-80.59,TRUE
"African Jewelfish",25.43928,-80.59009,TRUE
"African Jewelfish",25.44302,-80.58952,TRUE
"African Jewelfish",25.46524,-80.5743,TRUE
"African Jewelfish",25.46903,-80.57431,TRUE
"African Jewelfish",25.47425,-80.57434,TRUE
"African Jewelfish",25.47618,-80.57436,TRUE
"African Jewelfish",25.47068,-80.57433,TRUE
"African Jewelfish",25.4635,-80.57427,TRUE
"African Jewelfish",25.41842,-80.58253,TRUE
"African Jewelfish",25.41842,-80.58645,TRUE
"African Jewelfish",25.44672,-80.59014,TRUE
"African Jewelfish",25.46237,-80.58685,TRUE
"African Jewelfish",25.37137,-80.57387,TRUE
"African Jewelfish",25.36593,-80.57384,TRUE
"African Jewelfish",25.36625,-80.57384,TRUE
"African Jewelfish",25.36992,-80.57385,TRUE
"African Jewelfish",25.37337,-80.57385,TRUE
"African Jewelfish",25.37515,-80.57389,TRUE
"African Jewelfish",25.39961,-80.57321,TRUE
"African Jewelfish",25.40304,-80.574,TRUE
"African Jewelfish",25.41023,-80.57401,TRUE
"African Jewelfish",25.40128,-80.57399,TRUE
"African Jewelfish",25.41031,-80.57402,TRUE
"African Jewelfish",25.41562,-80.57397,TRUE
"African Jewelfish",25.39004,-80.57388,TRUE
"African Jewelfish",25.38419,-80.57394,TRUE
"African Jewelfish",25.40712,-80.61671,TRUE
"African Jewelfish",25.38207,-80.60911,TRUE
"African Jewelfish",25.31828,-80.5657,TRUE
"African Jewelfish",25.32368,-80.56644,TRUE
"African Jewelfish",25.30172,-80.48515,TRUE
"African Jewelfish",25.57679,-80.57761,TRUE
"African Jewelfish",25.49978,-80.576,TRUE
"African Jewelfish",25.41866,-80.59009,TRUE
"African Jewelfish",25.38369,-80.57404,TRUE
"African Jewelfish",25.36768,-80.57419,TRUE
"African Jewelfish",25.54573,-80.57536,TRUE
"African Jewelfish",25.51339,-80.57613,TRUE
"African Jewelfish",25.4242,-80.59056,TRUE
"African Jewelfish",25.68972,-80.75904,TRUE
"African Jewelfish",25.30834,-80.51918,TRUE
"African Jewelfish",25.28433,-80.56783,TRUE
"African Jewelfish",25.26584,-80.61346,TRUE
"African Jewelfish",25.22962,-80.7038,TRUE
"African Jewelfish",25.3221,-80.64406,TRUE
"African Jewelfish",25.2698,-80.68114,TRUE
"African Jewelfish",25.46905,-80.84955,TRUE
"African Jewelfish",25.68183,-80.61697,TRUE
"African Jewelfish",25.63662,-80.73279,TRUE
"African Jewelfish",25.58258,-80.75938,TRUE
"African Jewelfish",25.49277,-80.83051,TRUE
"African Jewelfish",25.4181,-80.57868,TRUE
"African Jewelfish",25.41794,-80.57979,TRUE
"African Jewelfish",25.41794,-80.57979,TRUE
"African Jewelfish",25.41792,-80.58057,TRUE
"African Jewelfish",25.41785,-80.58344,TRUE
"African Jewelfish",25.41618,-80.58328,TRUE
"African Jewelfish",25.41618,-80.58328,TRUE
"African Jewelfish",25.41906,-80.63277,TRUE
"African Jewelfish",25.41906,-80.63277,TRUE
"African Jewelfish",25.41649,-80.5842,TRUE
"African Jewelfish",25.42059,-80.63374,TRUE
"African Jewelfish",25.43521,-80.73192,TRUE
