"Species","Latitude","Longitude","optional"
"Mayan Cichlid",25.9604,-80.2093,TRUE
"Mayan Cichlid",25.31703,-80.52402,TRUE
"Mayan Cichlid",25.19058,-80.64122,TRUE
"Mayan Cichlid",26.1342,-80.1486,TRUE
"Mayan Cichlid",25.937873,-80.924789,TRUE
"Mayan Cichlid",25.937873,-80.924789,TRUE
"Mayan Cichlid",25.47206,-80.6045,TRUE
"Mayan Cichlid",26.21,-80.35,TRUE
"Mayan Cichlid",26.21,-80.35,TRUE
"Mayan Cichlid",26.48,-80.08,TRUE
"Mayan Cichlid",26.77,-80.82,TRUE
"Mayan Cichlid",26.70178,-81.83132,TRUE
"Mayan Cichlid",26.4247,-81.8592,TRUE
"Mayan Cichlid",25.676796,-80.363091,TRUE
"Mayan Cichlid",26.48,-80.08,TRUE
"Mayan Cichlid",26.48,-80.08,TRUE
"Mayan Cichlid",25.89,-80.58,TRUE
"Mayan Cichlid",25.89,-80.58,TRUE
"Mayan Cichlid",25.89,-80.58,TRUE
"Mayan Cichlid",25.59592,-80.41303,TRUE
"Mayan Cichlid",25.7792,-80.4823,TRUE
"Mayan Cichlid",25.296476,-80.468534,TRUE
"Mayan Cichlid",25.855374,-80.217826,TRUE
"Mayan Cichlid",25.89,-80.58,TRUE
"Mayan Cichlid",25.37253,-80.62388,TRUE
"Mayan Cichlid",25.78883,-81.10004,TRUE
"Mayan Cichlid",25.89,-80.58,TRUE
"Mayan Cichlid",25.33289,-80.62605,TRUE
"Mayan Cichlid",25.33289,-80.62605,TRUE
"Mayan Cichlid",25.33289,-80.62605,TRUE
"Mayan Cichlid",25.36562,-80.52566,TRUE
"Mayan Cichlid",25.36941,-80.57307,TRUE
"Mayan Cichlid",25.63463,-80.57536,TRUE
"Mayan Cichlid",25.62842,-80.57522,TRUE
"Mayan Cichlid",25.33289,-80.62605,TRUE
"Mayan Cichlid",25.389948,-80.587694,TRUE
"Mayan Cichlid",25.37186,-80.58778,TRUE
"Mayan Cichlid",25.38133,-80.60916,TRUE
"Mayan Cichlid",25.38133,-80.60916,TRUE
"Mayan Cichlid",25.38111,-80.60555,TRUE
"Mayan Cichlid",25.23889,-80.55,TRUE
"Mayan Cichlid",25.252459,-80.549355,TRUE
"Mayan Cichlid",25.214565,-80.551727,TRUE
"Mayan Cichlid",25.212396,-80.80719,TRUE
"Mayan Cichlid",25.389948,-80.587694,TRUE
"Mayan Cichlid",25.238019,-80.529528,TRUE
"Mayan Cichlid",25.382339,-80.607591,TRUE
"Mayan Cichlid",25.2863,-80.661964,TRUE
